date,min_temperature_2m,max_temperature_2m,avg_temperature_2m,avg_relative_humidity_2m,avg_pm2_5,avg_pm10,target
2020-03-15,4.1,12.1,7.929166666666667,72.41666666666667,16.783333333333335,19.08333333333333,7.870833333333334
2020-03-16,2.6,13.6,7.870833333333334,71.75,25.1875,27.370833333333334,9.329166666666667
2020-03-17,2.5,15.7,9.329166666666667,70.0,36.05,41.04583333333333,10.970833333333331
2020-03-18,3.4,18.1,10.970833333333331,70.08333333333333,49.23333333333333,53.00833333333333,12.141666666666666
2020-03-19,4.9,19.3,12.141666666666666,68.83333333333333,43.275,49.76666666666667,10.7
2020-03-20,6.0,17.0,10.7,80.79166666666667,53.57083333333333,58.8375,11.391666666666666
2020-03-21,5.4,17.6,11.391666666666666,75.0,38.05416666666667,39.98333333333333,10.791666666666666
2020-03-22,9.0,14.5,10.791666666666666,68.41666666666667,19.104166666666668,22.133333333333336,5.879166666666666
2020-03-23,1.9,9.1,5.879166666666666,45.29166666666666,8.775,12.954166666666666,5.295833333333333
2020-03-24,0.4,10.8,5.295833333333333,55.708333333333336,19.375,23.02916666666667,4.570833333333334
2020-03-25,1.3,7.8,4.570833333333334,61.0,18.59583333333333,23.52916666666667,3.883333333333333
2020-03-26,-0.5,7.2,3.883333333333333,59.25,20.8,24.08333333333333,8.6
2020-03-27,4.3,12.7,8.6,64.16666666666667,26.55,32.47083333333333,12.604166666666666
2020-03-28,7.9,17.0,12.604166666666666,61.91666666666666,33.645833333333336,47.97083333333333,11.9
2020-03-29,5.1,18.2,11.9,72.21739130434783,49.03478260869565,61.51304347826087,10.729166666666666
2020-03-30,6.4,13.9,10.729166666666666,80.25,27.45833333333333,30.98333333333333,5.745833333333334
2020-03-31,2.8,8.9,5.745833333333334,67.41666666666667,9.316666666666666,12.170833333333334,5.508333333333333
2020-04-01,1.9,9.9,5.508333333333333,62.29166666666666,19.83333333333333,23.2875,6.541666666666667
2020-04-02,-0.7,12.2,6.541666666666667,61.29166666666666,30.825000000000003,34.05416666666667,8.454166666666667
2020-04-03,0.4,15.3,8.454166666666667,62.833333333333336,40.35,43.29166666666666,10.241666666666667
2020-04-04,2.5,17.6,10.241666666666667,67.66666666666667,43.07916666666667,44.75,11.754166666666668
2020-04-05,6.4,17.1,11.754166666666668,57.29166666666666,28.4625,31.025,12.833333333333334
